35;39
28;35
38;48
32;26
36;42
25;32
25;36
14;24
18;20
44;43
30;40
32;42
36;37
17;35
19;33
27;26
28;19
22;25
15;14
23;30
26;31
38;37
32;42
29;30
40;36
25;41
17;23
23;26
30;32
26;31
37;17
40;36
32;47
39;34
27;22
24;34
41;40
44;40
25;36
17;23
25;41
38;37
29;29
30;37
35;28
11;38
30;32
23;36
40;32
40;35
31;31
7;24
34;38
38;31
25;24
15;30
29;37
40;35
42;41
8;26
31;42
31;34
18;21
20;30
25;32
20;32
24;31
20;30
23;36
15;25
40;35
21;32
17;34
8;26
41;40
31;34
37;23
24;31
20;32
18;29
20;27
7;21
37;36
15;27
45;36
25;23
28;25
18;25
23;31
25;20
25;32
26;40
20;31
37;36
15;27
23;28
31;32
31;41
18;29
22;35
10;16
11;23
15;17
25;34
23;16
24;33
18;29
28;39
33;30
45;42
39;36
29;39
21;40
37;23
40;41
33;38
18;28
31;39
37;33
30;35
36;36
28;37
22;26
34;43
12;29
35;42
25;27
33;31
28;37
27;25
40;39
24;33
31;28
35;45
25;32
24;33
30;37
20;31
45;37
17;39
22;22
16;21
37;22
7;23
33;34
34;38
28;38
19;27
10;12
17;39
22;22
14;16
45;37
41;38
35;30
30;22
15;22
33;31
35;30
24;25
28;38
30;22
36;26
10;19
33;31
33;40
22;15
31;30
11;19
40;40
13;25
18;26
28;20
22;16
29;32
22;15
21;15
18;26
22;30
20;20
16;14
28;40
9;21
19;38
28;21
23;12
32;43
26;30
16;30
40;42
26;27
35;40
9;19
11;33
23;30
34;40
17;33
18;30
10;21
41;42
36;33
28;40
35;44
21;31
47;43
19;38
21;34
8;22
37;43
8;11
27;28
11;14
37;43
39;35
15;18
25;34
22;25
44;44
27;37
36;37
30;38
25;28
42;41
25;42
36;40
21;26
15;11
15;21
7;14
8;15
21;22
26;22
30;29
21;22
14;14
21;30
42;41
8;17
5;14
10;19
5;15
6;26
7;35
16;21
14;21
17;30
25;28
37;33
44;31
9;16
13;25
19;15
12;16
15;23
29;34
15;18
9;15
17;25
31;41
13;10
15;21
29;36
12;10
16;24
13;25
10;14
6;7
8;9
17;25
4;23
6;9
8;11
18;10
16;21
17;34
20;25
10;17
12;21
28;22
10;18
17;22
10;17
21;19
5;9
19;21
24;25
30;29
16;14
27;37
10;25
11;17
18;28
16;30
8;14
8;20
1;12
12;13
34;37
9;15
24;32
10;15
21;15
16;14
23;28
14;18
9;15
22;10
21;22
7;17
36;42
23;28
18;27
13;25
5;14
7;12
0;9
9;24
11;16
20;20
8;12
34;43
17;20
10;18
10;29
10;12
28;20
5;13
6;6
10;13
29;25
30;32
39;29
31;17
21;17
36;36
31;29
34;43
35;32
30;32
39;29
35;39
31;31
7;19
7;27
19;33
28;29
18;14
9;14
8;11
20;18
7;16
31;26
10;19
18;28
16;20
8;9
15;21
8;18
17;31
1;12
20;28
9;13
42;34
36;39
9;23
18;34
9;33
26;27
19;31
12;34
27;15
25;30
8;22
43;42
10;17
2;16
28;19
12;33
13;10
13;28
15;20
24;30
21;17
27;32
31;31
17;22
18;17
15;21
6;16
8;22
7;21
10;13
4;17
17;12
12;19
13;25
23;23
16;20
12;29
15;20
14;5
10;15
12;12
19;21
43;42
11;23
21;40
8;25
14;16
30;38
10;19
17;12
2;26
12;12
2;5
36;39
6;14
13;19
7;18
2;14
3;31
11;24
10;25
6;15
9;13
6;23
28;22
1;14
10;26
12;18
7;23
20;22
15;20
12;20
1;15
3;13
26;34
20;38
14;31
6;15
13;15
6;32
16;37
5;17
11;17
18;19
33;33
34;38
34;34
1;16
20;34
39;35
5;19
7;18
5;19
7;16
2;20
7;11
42;34
17;20
12;11
9;15
17;35
31;43
5;16
20;28
8;21
36;39
37;33
28;36
30;28
44;31
30;40
31;31
47;50
19;30
37;33
22;25
25;32
29;33
28;35
31;31
29;38
29;34
26;32
46;46
31;43
34;37
29;33
33;43
